"";"OBJECTID";"PARCELID";"PRINTKEY";"STREET_NUM";"STREET_NAME";"SITEADDRESS";"CITY";"ZIP5";"CLASSCD";"CLASSDSCRP";"PRPRTYDSCRP";"OWNERNME1";"PSTLADDRESS";"PSTLCITY";"LOT_FRONTAGE";"LOT_DEPTH";"STATEDAREA";"CURRENT_LAND_VALUE";"CURRENT_TOTAL_VALUE";"CURRENT_TAXABLE_VALUE";"TENTATIVE_LAND_VALUE";"TENTATIVE_TOTAL_VALUE";"TENTATIVE_TAXABLE_VALUE";"SALE_DATE";"SALE_PRICE";"BOOK";"PAGE";"DEED_TYPE";"VALID";"RESCOM";"CALCULATEDACRES";"SHAPEACRES";"BISZONING";"Shape.STArea..";"Shape.STLength..";"OWNERSHIPCODE";"LOW_STREET_NUM";"HIGH_STREET_NUM";"lon";"lat";"crime_count"
"7043";35704;"10524000020230000000";"105.24-2-23";"217";"MERLIN ST";"217 MERLIN ST";"ROCHESTER";"14613";"311";"RESIDENTIAL VACANT LAND";NA;"BLACKMAN YOSHIDA  ";"338 CURLEW ST";"ROCHESTER NY  14613";"9.19";"143";"0";"500";"500";500;500;500;500;"07/19/2013";"1";"11281";"00308";"Q";"";"R";0,03016919;0,11771471;"R-1";896,22265625;144,833402333097;" ";217;217;-77,647317;43,178481;5315
"7102";35710;"10527000030060000000";"105.27-3-6";"2";"GLENDALE PK";"2 GLENDALE PK";"ROCHESTER";"14613";"330";"VACANT COMMERCIAL LAND";NA;"AMERICAN LINEN SUPPLY CO  ";"10801 WAYZATA BLVD";"MINNETONKA  MN  55305";"0";"0";"1.07";"48200";"48200";48200;48200;48200;48200;" ";"0";"00000";"00000";" ";"";"C";0;1,07362601;NA;8173,82421875;406,389561504083;" ";2;2;-77,629217;43,177728;8103
"7116";35711;"10528000020220000000";"105.28-2-22";"46";"AVE A";"46 AVE A";"ROCHESTER";"14621";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"40";"120.29";"0.13";"2900";"2900";2900;2900;2900;2900;"11/06/2002";"111758";"09701";"00280";"T";"";"R";0,11045914;0,10928953;"R-1";832,05859375;133,68242509259;" ";46;46;-77,623658;43,177923;8424
"7123";35712;"10527000030070000000";"105.27-3-7";"14-16";"GLENDALE PK";"14-16 GLENDALE PK";"ROCHESTER";"14613";"330";"VACANT COMMERCIAL LAND";NA;"AMERICAN LINEN SUPPLY CO  ";"10801 WAYZATA BLVD";"MINNETONKA  MN  55305";"0";"0";"1.25";"56300";"56300";56300;56300;56300;56300;" ";"0";"00000";"00000";" ";"";"C";0;1,24875041;"C-2";9507,05078125;413,951096640819;" ";14;16;-77,629732;43,1776;8133
"7181";35718;"10527000020220000000";"105.27-2-22";"76";"GLENWOOD AV";"76 GLENWOOD AV";"ROCHESTER";"14613";"311";"RESIDENTIAL VACANT LAND";NA;"TIGEL INC  ";"713 LAKE AV";"ROCHESTER NY  14613";"42";"66.58";"0";"3200";"3200";3200;3200;3200;3200;"05/23/2006";"150000";"10301";"0242";"W";"";"R";0,06419559;0,06384553;"C-2";486,07421875;90,5443674124317;" ";76;76;-77,631735;43,177826;7947
"7356";35735;"10582000010650000000";"105.82-1-65";"404";"CHILD ST";"404 CHILD ST";"ROCHESTER";"14606";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"60.13";"40.16";"0";"1700";"1700";1700;1700;1700;1700;"11/30/2004";"52125";"10054";"00652";"T";"";"R";0,05543666;0,05603413;"R-1";426,359375;84,2539791408042;" ";404;404;-77,6386542;43,1601496;6804
"7423";35742;"10583000010160000000";"105.83-1-16";"285";"SAXTON ST";"285 SAXTON ST";"ROCHESTER";"14606";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER  NY  14614";"35.15";"264.62";"0";"3500";"3500";3500;3500;3500;3500;"11/30/2004";"958174";"10054";"00655";"T";"";"R";0,2135306;0,20880216;"R-1";1588,75390625;249,235941333906;" ";285;285;-77,632874;43,159995;8005
"7452";35745;"10584000010070000000";"105.84-1-7";"676";"W BROAD ST";"676 W BROAD ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"30";"100";"0";"1500";"1500";1500;1500;1500;1500;"12/24/2015";"347080";"11637";"00095";"T";"";"R";0,06887052;0,07019862;"R-1";534,13671875;109,302658098948;" ";676;676;-77,627127;43,159816;9323
"7534";35753;"10581000020710000000";"105.81-2-71";"5";"RUGRAFF ST";"5 RUGRAFF ST";"ROCHESTER";"14606";"311";"RESIDENTIAL VACANT LAND";NA;"RITTERSBACH LEO & KATHRYN  ";"19 CAVERSHAM WOODS";"PITTSFORD NY  14534";"40";"63.67";"0";"500";"500";500;500;500;500;"11/01/1980";"0";"05906";"00257";"P";"";"R";0,05846648;0,05887215;"R-1";447,953125;87,1759574061267;" ";5;5;-77,6407484;43,1597817;6621
"754";35754;"10584000020470000000";"105.84-2-47";"235";"JAY ST";"235 JAY ST";"ROCHESTER";"14608";"311";"RESIDENTIAL VACANT LAND";NA;"CITY OF ROCHESTER  ";"30 CHURCH ST RM 125B";"ROCHESTER NY  14614";"40";"100";"0";"2700";"2700";2700;2700;2700;2700;"11/18/1999";"75750";"09241";"00430";"T";"";"R";0,09182736;0,09085814;"M-1";691,3203125;116,705403357622;" ";235;235;-77,626243;43,159534;9401
